Frequency [Hz];GenLevel [V/dBm];MeasuredLevel [dBuV]
10000;88.1379;48.8287
10500;88.3221;49.2517
11025;88.5002;49.691
11576.3;88.6087;50.0734
12155.1;88.7894;50.5167
12762.8;88.955;50.9601
13401;89.1069;51.3912
14071;89.2605;51.8204
14774.6;89.3677;52.2027
15513.3;89.4862;52.6196
16288.9;89.6566;53.0792
17103.4;89.7635;53.4717
17958.6;89.9291;53.9212
18856.5;90.0382;54.3361
19799.3;90.1975;54.7693
20789.3;90.297;55.1842
21828.7;90.3973;55.5909
22920.2;90.5007;56.0139
24066.2;90.6065;56.441
25269.5;90.7117;56.8661
26533;90.8124;57.2932
27859.6;90.913;57.7284
29252.6;91.0106;58.1433
30715.2;91.1151;58.5724
32251;91.2154;59.0015
33863.5;91.3184;59.4144
35556.7;91.4225;59.8394
37334.6;91.5331;60.2441
39201.3;91.6411;60.6712
41161.4;91.7495;61.0902
43219.4;91.8658;61.5152
45380.4;92.0268;61.9545
47649.4;92.1748;62.4284
50031.9;92.2725;62.8148
52533.5;92.3804;63.2134
55160.2;92.4901;63.6344
57918.2;92.6497;64.0818
60814.1;92.754;64.4804
63854.8;92.9182;64.94
67047.5;93.0674;65.3732
70399.9;93.1758;65.7556
73919.9;93.345;66.1928
77615.9;93.5017;66.6362
81496.7;93.6164;67.0328
85571.5;93.789;67.4863
89850.1;93.9637;67.893
94342.6;94.1495;68.3039
99059.7;94.3906;68.7391
104013;94.5785;69.1438
109213;94.8213;69.579
114674;95.0598;70.0143
120408;95.3077;70.4536
126428;95.5608;70.8563
132749;95.8194;71.2793
139387;96.0765;71.6962
146356;96.3485;72.1274
153674;96.4525;72.5585
161358;96.5454;73.0019
169426;96.7248;73.3822
177897;97.0633;73.8235
186792;97.3563;74.2343
196131;97.7081;74.6736
205938;97.9795;75.0865
216235;98.2495;75.5136
227047;98.5132;75.9325
238399;98.7673;76.3759
250319;99.02;76.7969
262835;99.2644;77.2117
275977;99.5322;77.6327
289775;99.792;78.0557
304264;100.065;78.493
319477;100.398;78.9282
335451;100.679;79.3146
352224;101.011;79.7783
369835;101.354;80.1872
388327;101.694;80.6163
407743;102.04;81.0393
428130;102.385;81.4542
449537;102.729;81.8854
472014;103.077;82.3185
495614;103.431;82.7395
520395;103.777;83.1646
546415;104.124;83.5673
573736;104.489;84.0005
602422;104.841;84.4194
632544;105.198;84.8404
664171;105.552;85.2634
697379;105.906;85.6946
732248;106.261;86.1217
768861;106.602;86.5426
807304;106.948;86.9555
847669;107.304;87.3866
890052;107.649;87.8239
934555;107.999;88.2266
981283;108.352;88.6435
1.03035e+06;108.405;88.8042
1.08186e+06;108.405;88.8977
1.13596e+06;108.405;88.9608
1.19276e+06;108.405;89.0421
1.25239e+06;108.405;89.1336
1.31501e+06;108.362;89.1845
1.38076e+06;108.315;89.1946
1.4498e+06;108.218;89.1743
1.52229e+06;108.12;89.1743
1.59841e+06;108.073;89.1845
1.67833e+06;107.981;89.1743
1.76224e+06;107.885;89.1641
1.85035e+06;107.84;89.1845
1.94287e+06;107.748;89.1641
2.04002e+06;107.701;89.1743
2.14202e+06;107.658;89.1743
2.24912e+06;107.658;89.1845
2.36157e+06;107.658;89.1946
2.47965e+06;107.564;89.1641
2.60363e+06;107.523;89.1641
2.73382e+06;107.482;89.1743
2.87051e+06;107.482;89.1743
3.01403e+06;107.441;89.154
3.16473e+06;107.441;89.1641
3.32297e+06;107.441;89.1641
3.48912e+06;107.398;89.1743
3.66358e+06;107.355;89.1641
3.84675e+06;107.251;89.1743
4.03909e+06;107.094;89.1743
4.24105e+06;106.927;89.1743
4.4531e+06;106.663;89.1743
4.67575e+06;106.388;89.1946
4.90954e+06;106.156;89.1641
5.15502e+06;106.062;89.1743
5.41277e+06;106.062;88.9913
5.68341e+06;106.248;88.8042
5.96758e+06;106.61;88.8245
6.26596e+06;106.61;89.0421
6.57926e+06;107.27;88.8347
6.90822e+06;108.007;88.8042
7.25363e+06;107.775;89.1641
7.61631e+06;107.775;89.0116
7.99713e+06;105.548;89.1622
8.39698e+06;106.655;88.8245
8.81683e+06;106.655;88.8143
9.25767e+06;106.655;88.855
9.72056e+06;106.655;88.9608
1.02066e+07;106.655;89.0319
1.07169e+07;106.655;89.0523
1.12528e+07;106.655;89.1438
1.18154e+07;106.655;89.1031
1.24062e+07;106.655;89.0726
1.30265e+07;106.655;88.9282
1.36778e+07;106.655;89.0624
1.43617e+07;106.655;88.9709
1.50798e+07;106.655;88.9079
1.58338e+07;106.655;88.8245
1.66255e+07;106.75;88.8245
1.74567e+07;106.798;88.8143
1.83296e+07;106.846;88.8042
1.9246e+07;106.89;88.8245
2.02083e+07;107.046;88.8042
2.12188e+07;107.265;88.8347
2.22797e+07;107.35;88.8245
2.33937e+07;107.35;88.8672
2.45634e+07;107.35;88.8347
2.57915e+07;107.35;88.8672
2.70811e+07;107.35;88.8875
2.84352e+07;107.35;89.0116
2.98569e+07;107.35;89.1743
3.13498e+07;107.173;88.9811
3.29173e+07;107.067;88.7615
3.45631e+07;107.027;88.5459
3.62913e+07;107.027;88.3832
3.81058e+07;106.92;88.1818
4.00111e+07;106.673;87.952
4.20117e+07;106.271;87.7629
4.41123e+07;105.925;87.5351
