Frequency [Hz];Measured current [dBuA];actualUg [dBuV];limitImax [dBuA]
10000;54.8587;69.3961;55
10500;55.1501;69.7061;55.4238
11025;55.7615;70.3732;55.8476
11576.3;56.2943;71.4739;56.2714
12155.1;56.5106;71.7247;56.6952
12762.8;57.0064;72.1903;57.1189
13401;57.5679;73.5615;57.5427
14071;57.7134;73.7195;57.9665
14774.6;58.2764;74.7051;58.3903
15513.3;58.637;75.2413;58.8141
16288.9;59.346;76.4911;59.2378
17103.4;59.7345;76.9301;59.6616
17958.6;60.0972;78.6412;60.0854
18856.5;60.2859;79.716;60.5092
19799.3;60.7214;80.519;60.933
20789.3;61.3224;79.4852;61.3568
21828.7;62.0422;76.3404;61.7806
22920.2;62.4271;74.9818;62.2044
24066.2;62.4223;74.9818;62.6282
25269.5;62.8006;75.9275;63.0519
26533;63.1777;76.7234;63.4757
27859.6;63.641;77.7024;63.8995
29252.6;64.0806;78.4941;64.3233
30715.2;64.4742;79.1913;64.7471
32251;64.9011;79.7885;65.1709
33863.5;65.3226;80.4627;65.5946
35556.7;65.7673;80.9215;66.0184
37334.6;66.1924;81.4902;66.4422
39201.3;66.6061;82.0331;66.866
41161.4;67.0003;82.5846;67.2898
43219.4;67.4704;83.0861;67.7136
45380.4;67.8823;83.6161;68.1374
47649.4;68.2849;84.1323;68.5611
50031.9;68.7329;84.6573;68.9849
52533.5;69.1125;85.0765;69.4087
55160.2;69.5357;85.5487;69.8325
57918.2;70.0226;86.0086;70.2563
60814.1;70.4473;86.2084;70.6801
63854.8;70.8117;86.6586;71.1039
67047.5;71.2907;87.5329;71.5277
70399.9;71.6608;87.9753;71.9514
73919.9;72.1149;88.5203;72.3752
77615.9;72.5475;89.009;72.799
81496.7;72.9849;89.5089;73.2228
85571.5;73.3498;89.9395;73.6466
89850.1;73.7826;90.5141;74.0704
94342.6;74.204;90.9984;74.4942
99059.7;74.6343;91.5606;74.9179
104013;75.0667;92.129;75.3418
109213;75.506;92.7062;75.7655
114674;75.9135;93.2793;76.1893
120408;76.3222;93.8582;76.6131
126428;76.777;94.5313;77.0369
132749;77.1641;95.1308;77.4606
139387;77.6407;95.8004;77.8844
146356;77.9978;96.3485;78.3082
153674;78.0125;96.4525;78.732
161358;78.0094;96.5454;79.1558
169426;78.0024;96.7248;79.5796
177897;78.1511;97.0633;80.0034
186792;78.2731;97.3563;80.4272
196131;78.52;97.7081;80.8509
205938;78.7626;97.9795;81.2747
216235;79.0569;98.2495;81.6985
227047;79.3924;98.5132;82.1223
238399;79.7414;98.7673;82.5461
250319;80.098;99.02;82.9699
262835;80.5165;99.2644;83.3937
275977;80.9641;99.5322;83.8175
289775;81.4791;99.792;84.2412
304264;82.0087;100.065;84.665
319477;82.6055;100.398;85.0888
335451;83.1781;100.679;85.5126
352224;83.8895;101.011;85.9364
369835;84.4008;101.354;86.3602
388327;84.9123;101.694;86.784
407743;85.4265;102.04;87.2077
428130;86.0134;102.385;87.6315
449537;86.541;102.729;88.0553
472014;87.0704;103.077;88.4791
495614;87.612;103.431;88.9029
520395;88.0951;103.777;89.3267
546415;88.564;104.124;89.7505
573736;89.0873;104.489;90.1742
602422;89.5795;104.841;90.598
632544;90.0832;105.198;91.0218
664171;90.5189;105.552;91.4456
697379;90.9742;105.906;91.8694
732248;91.58;106.261;92.2932
768861;92.0385;106.602;92.717
807304;92.4587;106.948;93.1407
847669;92.8537;107.304;93.5645
890052;93.283;107.649;93.9883
934555;93.6986;107.999;94.4121
981283;94.0805;108.352;94.8359
1.03035e+06;94.2421;108.405;95
1.08186e+06;94.3015;108.405;95
1.13596e+06;94.3325;108.405;95
1.19276e+06;94.3412;108.405;95
1.25239e+06;94.4296;108.405;95
1.31501e+06;94.3924;108.362;95
1.38076e+06;94.3661;108.315;95
1.4498e+06;94.2655;108.218;95
1.52229e+06;94.2206;108.12;95
1.59841e+06;94.1586;108.073;95
1.67833e+06;94.0693;107.981;95
1.76224e+06;93.9893;107.885;95
1.85035e+06;93.9025;107.84;95
1.94287e+06;93.7846;107.748;95
2.04002e+06;93.6782;107.701;95
2.14202e+06;93.6112;107.658;95
2.24912e+06;93.5346;107.658;95
2.36157e+06;93.4485;107.658;95
2.47965e+06;93.3101;107.564;95
2.60363e+06;93.1907;107.523;95
2.73382e+06;93.082;107.482;95
2.87051e+06;92.919;107.482;95
3.01403e+06;92.7423;107.441;95
3.16473e+06;92.6212;107.441;95
3.32297e+06;92.4051;107.441;95
3.48912e+06;92.1286;107.398;95
3.66358e+06;91.7816;107.355;95
3.84675e+06;91.3558;107.251;95
4.03909e+06;90.8025;107.094;95
4.24105e+06;90.3149;106.927;95
4.4531e+06;89.9335;106.663;95
4.67575e+06;89.9373;106.388;95
4.90954e+06;90.0169;106.156;95
5.15502e+06;90.2557;106.062;95
5.41277e+06;90.3285;106.062;95
5.68341e+06;90.3977;106.248;95
5.96758e+06;90.6749;106.61;95
6.26596e+06;91.1318;106.61;95
6.57926e+06;91.156;107.27;95
6.90822e+06;91.3741;108.007;95
7.25363e+06;92.0605;107.775;95
7.61631e+06;92.2127;107.775;95
7.99713e+06;92.5994;105.548;95
8.39698e+06;92.6674;106.655;95
8.81683e+06;92.9596;106.655;95
9.25767e+06;93.277;106.655;95
9.72056e+06;93.845;106.655;95
1.02066e+07;94.253;106.655;95
1.07169e+07;94.6352;106.655;95
1.12528e+07;95.0648;106.655;95
1.18154e+07;95.2997;106.48;95
1.24062e+07;95.2729;106.238;95
1.30265e+07;94.726;106.238;95
1.36778e+07;95.2861;105.826;95
1.43617e+07;95.2774;105.562;95
1.50798e+07;95.253;105.323;95
1.58338e+07;95.2943;105.244;95
1.66255e+07;95.2711;105.1;95
1.74567e+07;95.2648;105.1;95
1.83296e+07;95.2754;105.032;95
1.9246e+07;95.254;104.888;95
2.02083e+07;95.2658;104.739;95
2.12188e+07;95.262;104.216;95
2.22797e+07;95.2912;103.795;95
2.33937e+07;94.9103;103.795;95
2.45634e+07;94.7415;103.795;95
2.57915e+07;94.738;104.343;95
2.70811e+07;94.7087;105.172;95
2.84352e+07;94.7614;106.142;95
2.98569e+07;94.7414;106.671;95
3.13498e+07;94.5146;107.098;94.8116
3.29173e+07;93.8553;107.067;94.6058
3.45631e+07;93.1416;107.027;94.4001
3.62913e+07;93.663;107.027;94.1943
3.81058e+07;94.244;105.542;93.9886
4.00111e+07;93.4244;106.673;93.7828
4.20117e+07;91.5356;106.271;93.5771
4.41123e+07;89.8975;105.925;93.3713
4.63179e+07;87.8452;105.811;93.1656
4.86338e+07;86.2816;105.577;92.9598
5.10655e+07;88.1801;105.47;92.7541
5.36187e+07;88.7979;105.47;92.5483
5.62997e+07;86.8151;105.946;92.3426
5.91147e+07;88.7215;106.482;92.1368
6.20704e+07;92.1721;105.341;91.9311
6.51739e+07;91.8955;104.771;91.7253
6.84326e+07;91.7781;103.049;91.5196
7.18542e+07;91.2098;102.127;91.3138
