RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
30000000,0000;34,0000;30000000,0000;24,0000;30000000,0000;44,0000;30000000,0000;30,6740
30272119,0980;34,0000;30272119,0980;24,0000;30272119,0980;44,0000;30040000,0000;30,9330
30546706,4895;34,0000;30546706,4895;24,0000;30546706,4895;44,0000;30080000,0000;29,4064
30823784,5634;34,0000;30823784,5634;24,0000;30823784,5634;44,0000;30120000,0000;26,1206
31103375,9118;34,0000;31103375,9118;24,0000;31103375,9118;44,0000;30160000,0000;26,5219
31385503,3318;34,0000;31385503,3318;24,0000;31385503,3318;44,0000;30200000,0000;25,4855
31670189,8270;34,0000;31670189,8270;24,0000;31670189,8270;44,0000;30240000,0000;28,2562
31957458,6100;34,0000;31957458,6100;24,0000;31957458,6100;44,0000;30280000,0000;27,6000
32247333,1037;34,0000;32247333,1037;24,0000;32247333,1037;44,0000;30320000,0000;25,4999
32539836,9436;34,0000;32539836,9436;24,0000;32539836,9436;44,0000;30360000,0000;27,0788
32834993,9796;34,0000;32834993,9796;24,0000;32834993,9796;44,0000;30400000,0000;27,6144
33132828,2778;34,0000;33132828,2778;24,0000;33132828,2778;44,0000;30440000,0000;26,8220
33433364,1226;34,0000;33433364,1226;24,0000;33433364,1226;44,0000;30480000,0000;28,4151
33736626,0189;34,0000;33736626,0189;24,0000;33736626,0189;44,0000;30520000,0000;27,3624
34042638,6936;34,0000;34042638,6936;24,0000;34042638,6936;44,0000;30560000,0000;29,2057
34351427,0981;34,0000;34351427,0981;24,0000;34351427,0981;44,0000;30600000,0000;28,4295
34663016,4101;34,0000;34663016,4101;24,0000;34663016,4101;44,0000;30640000,0000;28,3042
34977432,0354;34,0000;34977432,0354;24,0000;34977432,0354;44,0000;30680000,0000;25,6712
35294699,6106;34,0000;35294699,6106;24,0000;35294699,6106;44,0000;30720000,0000;26,8556
35614845,0047;34,0000;35614845,0047;24,0000;35614845,0047;44,0000;30760000,0000;28,8392
35937894,3213;34,0000;35937894,3213;24,0000;35937894,3213;44,0000;30800000,0000;33,6213
