RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y)
30000000,0000;34,0000;30000000,0000;24,0000;30000000,0000;44,0000;30000000,0000;30,6740;30000000,0000;30,2916
30272119,0980;34,0000;30272119,0980;24,0000;30272119,0980;44,0000;30040000,0000;30,9330;30040000,0000;29,0131
30546706,4895;34,0000;30546706,4895;24,0000;30546706,4895;44,0000;30080000,0000;29,4064;30080000,0000;28,2370
30823784,5634;34,0000;30823784,5634;24,0000;30823784,5634;44,0000;30120000,0000;26,1206;30120000,0000;26,2528
31103375,9118;34,0000;31103375,9118;24,0000;31103375,9118;44,0000;30160000,0000;26,5219;30160000,0000;28,1164
31385503,3318;34,0000;31385503,3318;24,0000;31385503,3318;44,0000;30200000,0000;25,4855;30200000,0000;25,4855
31670189,8270;34,0000;31670189,8270;24,0000;31670189,8270;44,0000;30240000,0000;28,2562;30240000,0000;26,0068
31957458,6100;34,0000;31957458,6100;24,0000;31957458,6100;44,0000;30280000,0000;27,6000;30280000,0000;25,3669
32247333,1037;34,0000;32247333,1037;24,0000;32247333,1037;44,0000;30320000,0000;25,4999;30320000,0000;28,3959
32539836,9436;34,0000;32539836,9436;24,0000;32539836,9436;44,0000;30360000,0000;27,0788;30360000,0000;26,6802
32834993,9796;34,0000;32834993,9796;24,0000;32834993,9796;44,0000;30400000,0000;27,6144;30400000,0000;27,7466
33132828,2778;34,0000;33132828,2778;24,0000;33132828,2778;44,0000;30440000,0000;26,8220;30440000,0000;28,6706
33433364,1226;34,0000;33433364,1226;24,0000;33433364,1226;44,0000;30480000,0000;28,4151;30480000,0000;27,2254
33736626,0189;34,0000;33736626,0189;24,0000;33736626,0189;44,0000;30520000,0000;27,3624;30520000,0000;27,4966
34042638,6936;34,0000;34042638,6936;24,0000;34042638,6936;44,0000;30560000,0000;29,2057;30560000,0000;27,3672
34351427,0981;34,0000;34351427,0981;24,0000;34351427,0981;44,0000;30600000,0000;28,4295;30600000,0000;29,5969
34663016,4101;34,0000;34663016,4101;24,0000;34663016,4101;44,0000;30640000,0000;28,3042;30640000,0000;28,9550
34977432,0354;34,0000;34977432,0354;24,0000;34977432,0354;44,0000;30680000,0000;25,6712;30680000,0000;28,5693
35294699,6106;34,0000;35294699,6106;24,0000;35294699,6106;44,0000;30720000,0000;26,8556;30720000,0000;30,3780
35614845,0047;34,0000;35614845,0047;24,0000;35614845,0047;44,0000;30760000,0000;28,8392;30760000,0000;28,3186
35937894,3213;34,0000;35937894,3213;24,0000;35937894,3213;44,0000;30800000,0000;33,6213;30800000,0000;27,6624
36263873,9009;34,0000;36263873,9009;24,0000;36263873,9009;44,0000;30840000,0000;33,7522;30840000,0000;29,6257
36592810,3228;34,0000;36592810,3228;24,0000;36592810,3228;44,0000;30880000,0000;33,6309;30880000,0000;29,1139
36924730,4074;34,0000;36924730,4074;24,0000;36924730,4074;44,0000;30920000,0000;33,7618;30920000,0000;28,3378
37259661,2185;34,0000;37259661,2185;24,0000;37259661,2185;44,0000;30960000,0000;34,2791;30960000,0000;30,4068
37597630,0653;34,0000;37597630,0653;24,0000;37597630,0653;44,0000;31000000,0000;34,6805;31000000,0000;31,0482
37938664,5046;34,0000;37938664,5046;24,0000;37938664,5046;44,0000;31040000,0000;34,4209;31040000,0000;30,5445
38282792,3435;34,0000;38282792,3435;24,0000;38282792,3435;44,0000;31080000,0000;35,2188;31080000,0000;29,5264
38630041,6409;34,0000;38630041,6409;24,0000;38630041,6409;44,0000;31120000,0000;34,4305;31120000,0000;30,2999
38980440,7104;34,0000;38980440,7104;24,0000;38980440,7104;44,0000;31160000,0000;33,9187;31160000,0000;31,0674
39334018,1226;34,0000;39334018,1226;24,0000;39334018,1226;44,0000;31200000,0000;33,9235;31200000,0000;32,2131
39690802,7071;34,0000;39690802,7071;24,0000;39690802,7071;44,0000;31240000,0000;34,5771;31240000,0000;32,7548
40050823,5548;34,0000;40050823,5548;24,0000;40050823,5548;44,0000;31280000,0000;32,6254;31280000,0000;32,6254
40414110,0208;34,0000;40414110,0208;24,0000;40414110,0208;44,0000;31320000,0000;33,1712;31320000,0000;31,9733
40780691,7264;34,0000;40780691,7264;24,0000;40780691,7264;44,0000;31360000,0000;32,6350;31360000,0000;30,9653
41150598,5613;34,0000;41150598,5613;24,0000;41150598,5613;44,0000;31400000,0000;33,6933;31400000,0000;31,3504
41523860,6868;34,0000;41523860,6868;24,0000;41523860,6868;44,0000;31440000,0000;33,1856;31440000,0000;30,4644
41900508,5373;34,0000;41900508,5373;24,0000;41900508,5373;44,0000;31480000,0000;32,3789;31480000,0000;31,6142
42280572,8236;34,0000;42280572,8236;24,0000;42280572,8236;44,0000;31520000,0000;34,6107;31520000,0000;32,5200
42664084,5350;34,0000;42664084,5350;24,0000;42664084,5350;44,0000;31560000,0000;37,5115;31560000,0000;28,9352
43051074,9417;34,0000;43051074,9417;24,0000;43051074,9417;44,0000;31600000,0000;31,7547;31600000,0000;30,1013
43441575,5977;34,0000;43441575,5977;24,0000;43441575,5977;44,0000;31640000,0000;31,3792;31640000,0000;31,5073
43835618,3433;34,0000;43835618,3433;24,0000;43835618,3433;44,0000;31680000,0000;30,7474;31680000,0000;29,2099
44233235,3075;34,0000;44233235,3075;24,0000;44233235,3075;44,0000;31720000,0000;33,6035;31720000,0000;28,9544
