RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y);Trace 3  (X);Trace 3  (Y);Trace 4  (X);Trace 4  (Y);Trace 5  (X);Trace 5  (Y);Trace 6  (X);Trace 6  (Y);Trace 7 Už asi 7. (X);Trace 7 Už asi 7. (Y);Trace 8 Už asi 7. (X);Trace 8 Už asi 7. (Y);Trace 9 Už asi 7. (X);Trace 9 Už asi 7. (Y);Trace 10 Už asi 7. (X);Trace 10 Už asi 7. (Y);Trace 11 Už asi 11. (X);Trace 11 Už asi 11. (Y)
30000000,0000;34,0000;30000000,0000;24,0000;30000000,0000;44,0000;30000000,0000;13,9464;30000000,0000;13,1858;30000000,0000;13,6942;30000000,0000;12,9438;30000000,0000;12,5879;30000000,0000;13,0638;30000000,0000;13,4400;30000000,0000;13,6942;30000000,0000;12,8258;30000000,0000;13,5661;30000000,0000;14,0745
30272119,0980;34,0000;30272119,0980;24,0000;30272119,0980;44,0000;30040000,0000;13,8251;30040000,0000;12,3547;30040000,0000;12,4727;30040000,0000;14,3376;30040000,0000;13,0686;30040000,0000;13,3187;30040000,0000;14,3376;30040000,0000;13,0686;30040000,0000;12,8306;30040000,0000;12,7106;30040000,0000;12,1168
30546706,4895;34,0000;30546706,4895;24,0000;30546706,4895;44,0000;30080000,0000;14,0841;30080000,0000;12,7154;30080000,0000;13,5757;30080000,0000;12,9534;30080000,0000;13,3235;30080000,0000;12,8354;30080000,0000;12,9534;30080000,0000;13,9560;30080000,0000;13,4496;30080000,0000;12,5975;30080000,0000;13,5757
30823784,5634;34,0000;30823784,5634;24,0000;30823784,5634;44,0000;30120000,0000;12,6023;30120000,0000;12,4823;30120000,0000;15,1261;30120000,0000;12,8402;30120000,0000;12,9582;30120000,0000;13,5805;30120000,0000;13,8347;30120000,0000;13,5805;30120000,0000;13,0782;30120000,0000;14,2170;30120000,0000;12,8402
31103375,9118;34,0000;31103375,9118;24,0000;31103375,9118;44,0000;30160000,0000;14,6123;30160000,0000;13,0830;30160000,0000;12,3691;30160000,0000;14,0937;30160000,0000;13,0830;30160000,0000;12,7250;30160000,0000;14,3520;30160000,0000;12,4871;30160000,0000;12,7250;30160000,0000;13,4592;30160000,0000;12,0030
31385503,3318;34,0000;31385503,3318;24,0000;31385503,3318;44,0000;30200000,0000;12,8498;30200000,0000;13,3379;30200000,0000;14,7473;30200000,0000;13,4640;30200000,0000;13,2098;30200000,0000;13,8443;30200000,0000;13,5901;30200000,0000;13,5901;30200000,0000;12,7298;30200000,0000;12,8498;30200000,0000;12,8498
31670189,8270;34,0000;31670189,8270;24,0000;31670189,8270;44,0000;30240000,0000;13,2146;30240000,0000;12,3787;30240000,0000;13,2146;30240000,0000;12,1408;30240000,0000;12,8546;30240000,0000;13,2146;30240000,0000;13,4688;30240000,0000;13,3427;30240000,0000;12,7346;30240000,0000;13,7230;30240000,0000;13,8491
31957458,6100;34,0000;31957458,6100;24,0000;31957458,6100;44,0000;30280000,0000;13,2194;30280000,0000;12,1456;30280000,0000;12,8594;30280000,0000;13,2194;30280000,0000;12,8594;30280000,0000;14,2362;30280000,0000;12,5015;30280000,0000;12,8594;30280000,0000;14,1081;30280000,0000;13,2194;30280000,0000;12,8594
32247333,1037;34,0000;32247333,1037;24,0000;32247333,1037;44,0000;30320000,0000;14,3712;30320000,0000;12,6263;30320000,0000;13,3523;30320000,0000;13,6045;30320000,0000;12,3883;30320000,0000;13,1021;30320000,0000;12,1504;30320000,0000;12,7442;30320000,0000;13,2242;30320000,0000;13,9848;30320000,0000;13,1021
32539836,9436;34,0000;32539836,9436;24,0000;32539836,9436;44,0000;30360000,0000;13,1069;30360000,0000;13,3571;30360000,0000;13,9896;30360000,0000;13,2290;30360000,0000;13,9896;30360000,0000;14,7665;30360000,0000;13,7374;30360000,0000;13,7374;30360000,0000;13,3571;30360000,0000;14,5062;30360000,0000;12,9870
